cnmr,graph
nmrshiftdb2_10003240.csv,nmrshiftdb2_10003240.pickle
nmrshiftdb2_10003242.csv,nmrshiftdb2_10003242.pickle
nmrshiftdb2_10003245.csv,nmrshiftdb2_10003245.pickle
nmrshiftdb2_10003367.csv,nmrshiftdb2_10003367.pickle
nmrshiftdb2_10003368.csv,nmrshiftdb2_10003368.pickle
nmrshiftdb2_10003533.csv,nmrshiftdb2_10003533.pickle
nmrshiftdb2_10003575.csv,nmrshiftdb2_10003575.pickle
nmrshiftdb2_10003576.csv,nmrshiftdb2_10003576.pickle
nmrshiftdb2_10003577.csv,nmrshiftdb2_10003577.pickle
nmrshiftdb2_10003578.csv,nmrshiftdb2_10003578.pickle
nmrshiftdb2_10003579.csv,nmrshiftdb2_10003579.pickle
nmrshiftdb2_10004121.csv,nmrshiftdb2_10004121.pickle
nmrshiftdb2_10004122.csv,nmrshiftdb2_10004122.pickle
nmrshiftdb2_10004124.csv,nmrshiftdb2_10004124.pickle
nmrshiftdb2_10004247.csv,nmrshiftdb2_10004247.pickle
nmrshiftdb2_10005592.csv,nmrshiftdb2_10005592.pickle
nmrshiftdb2_10005600.csv,nmrshiftdb2_10005600.pickle
nmrshiftdb2_10005612.csv,nmrshiftdb2_10005612.pickle
nmrshiftdb2_10005613.csv,nmrshiftdb2_10005613.pickle
nmrshiftdb2_10005614.csv,nmrshiftdb2_10005614.pickle
nmrshiftdb2_10005615.csv,nmrshiftdb2_10005615.pickle
nmrshiftdb2_10005616.csv,nmrshiftdb2_10005616.pickle
nmrshiftdb2_10005617.csv,nmrshiftdb2_10005617.pickle
nmrshiftdb2_10005618.csv,nmrshiftdb2_10005618.pickle
nmrshiftdb2_10005619.csv,nmrshiftdb2_10005619.pickle
nmrshiftdb2_10005620.csv,nmrshiftdb2_10005620.pickle
nmrshiftdb2_10005621.csv,nmrshiftdb2_10005621.pickle
nmrshiftdb2_10005622.csv,nmrshiftdb2_10005622.pickle
nmrshiftdb2_10005623.csv,nmrshiftdb2_10005623.pickle
nmrshiftdb2_10005624.csv,nmrshiftdb2_10005624.pickle
nmrshiftdb2_10005625.csv,nmrshiftdb2_10005625.pickle
nmrshiftdb2_10005626.csv,nmrshiftdb2_10005626.pickle
nmrshiftdb2_10005627.csv,nmrshiftdb2_10005627.pickle
nmrshiftdb2_10005628.csv,nmrshiftdb2_10005628.pickle
nmrshiftdb2_10005629.csv,nmrshiftdb2_10005629.pickle
nmrshiftdb2_10005630.csv,nmrshiftdb2_10005630.pickle
nmrshiftdb2_10005631.csv,nmrshiftdb2_10005631.pickle
nmrshiftdb2_10005634.csv,nmrshiftdb2_10005634.pickle
nmrshiftdb2_10005639.csv,nmrshiftdb2_10005639.pickle
nmrshiftdb2_10005641.csv,nmrshiftdb2_10005641.pickle
nmrshiftdb2_10005642.csv,nmrshiftdb2_10005642.pickle
nmrshiftdb2_10005643.csv,nmrshiftdb2_10005643.pickle
nmrshiftdb2_10005644.csv,nmrshiftdb2_10005644.pickle
nmrshiftdb2_10005646.csv,nmrshiftdb2_10005646.pickle
nmrshiftdb2_10005647.csv,nmrshiftdb2_10005647.pickle
nmrshiftdb2_10005656.csv,nmrshiftdb2_10005656.pickle
nmrshiftdb2_10005658.csv,nmrshiftdb2_10005658.pickle
nmrshiftdb2_10005663.csv,nmrshiftdb2_10005663.pickle
nmrshiftdb2_10005679.csv,nmrshiftdb2_10005679.pickle
nmrshiftdb2_10005683.csv,nmrshiftdb2_10005683.pickle
nmrshiftdb2_10005685.csv,nmrshiftdb2_10005685.pickle
nmrshiftdb2_10005686.csv,nmrshiftdb2_10005686.pickle
nmrshiftdb2_10005691.csv,nmrshiftdb2_10005691.pickle
nmrshiftdb2_10005692.csv,nmrshiftdb2_10005692.pickle
nmrshiftdb2_10005695.csv,nmrshiftdb2_10005695.pickle
nmrshiftdb2_10005696.csv,nmrshiftdb2_10005696.pickle
nmrshiftdb2_10005697.csv,nmrshiftdb2_10005697.pickle
nmrshiftdb2_10005699.csv,nmrshiftdb2_10005699.pickle
nmrshiftdb2_10005706.csv,nmrshiftdb2_10005706.pickle
nmrshiftdb2_10005713.csv,nmrshiftdb2_10005713.pickle
nmrshiftdb2_10005715.csv,nmrshiftdb2_10005715.pickle
nmrshiftdb2_10005716.csv,nmrshiftdb2_10005716.pickle
nmrshiftdb2_10005718.csv,nmrshiftdb2_10005718.pickle
nmrshiftdb2_10005719.csv,nmrshiftdb2_10005719.pickle
nmrshiftdb2_10005722.csv,nmrshiftdb2_10005722.pickle
nmrshiftdb2_10005723.csv,nmrshiftdb2_10005723.pickle
nmrshiftdb2_10005727.csv,nmrshiftdb2_10005727.pickle
nmrshiftdb2_10005730.csv,nmrshiftdb2_10005730.pickle
nmrshiftdb2_10005734.csv,nmrshiftdb2_10005734.pickle
nmrshiftdb2_10005737.csv,nmrshiftdb2_10005737.pickle
nmrshiftdb2_10005738.csv,nmrshiftdb2_10005738.pickle
nmrshiftdb2_10005739.csv,nmrshiftdb2_10005739.pickle
nmrshiftdb2_10005744.csv,nmrshiftdb2_10005744.pickle
nmrshiftdb2_10005752.csv,nmrshiftdb2_10005752.pickle
nmrshiftdb2_10005761.csv,nmrshiftdb2_10005761.pickle
nmrshiftdb2_10005765.csv,nmrshiftdb2_10005765.pickle
nmrshiftdb2_10005766.csv,nmrshiftdb2_10005766.pickle
nmrshiftdb2_10005784.csv,nmrshiftdb2_10005784.pickle
nmrshiftdb2_10005788.csv,nmrshiftdb2_10005788.pickle
nmrshiftdb2_10005792.csv,nmrshiftdb2_10005792.pickle
nmrshiftdb2_10005794.csv,nmrshiftdb2_10005794.pickle
nmrshiftdb2_10005796.csv,nmrshiftdb2_10005796.pickle
nmrshiftdb2_10005802.csv,nmrshiftdb2_10005802.pickle
nmrshiftdb2_10005819.csv,nmrshiftdb2_10005819.pickle
nmrshiftdb2_10005841.csv,nmrshiftdb2_10005841.pickle
nmrshiftdb2_10005852.csv,nmrshiftdb2_10005852.pickle
nmrshiftdb2_10005860.csv,nmrshiftdb2_10005860.pickle
nmrshiftdb2_10005861.csv,nmrshiftdb2_10005861.pickle
nmrshiftdb2_10005868.csv,nmrshiftdb2_10005868.pickle
nmrshiftdb2_10005870.csv,nmrshiftdb2_10005870.pickle
nmrshiftdb2_10005885.csv,nmrshiftdb2_10005885.pickle
nmrshiftdb2_10005889.csv,nmrshiftdb2_10005889.pickle
nmrshiftdb2_10005895.csv,nmrshiftdb2_10005895.pickle
nmrshiftdb2_10005906.csv,nmrshiftdb2_10005906.pickle
nmrshiftdb2_10005915.csv,nmrshiftdb2_10005915.pickle
nmrshiftdb2_10005922.csv,nmrshiftdb2_10005922.pickle
nmrshiftdb2_10005923.csv,nmrshiftdb2_10005923.pickle
nmrshiftdb2_10005925.csv,nmrshiftdb2_10005925.pickle
nmrshiftdb2_10005926.csv,nmrshiftdb2_10005926.pickle
nmrshiftdb2_10005927.csv,nmrshiftdb2_10005927.pickle
nmrshiftdb2_10005931.csv,nmrshiftdb2_10005931.pickle
nmrshiftdb2_10005933.csv,nmrshiftdb2_10005933.pickle
nmrshiftdb2_10005934.csv,nmrshiftdb2_10005934.pickle
nmrshiftdb2_10005949.csv,nmrshiftdb2_10005949.pickle
nmrshiftdb2_10005958.csv,nmrshiftdb2_10005958.pickle
nmrshiftdb2_10005962.csv,nmrshiftdb2_10005962.pickle
nmrshiftdb2_10005982.csv,nmrshiftdb2_10005982.pickle
nmrshiftdb2_10005983.csv,nmrshiftdb2_10005983.pickle
nmrshiftdb2_10006006.csv,nmrshiftdb2_10006006.pickle
nmrshiftdb2_10006008.csv,nmrshiftdb2_10006008.pickle
nmrshiftdb2_10006033.csv,nmrshiftdb2_10006033.pickle
nmrshiftdb2_10006042.csv,nmrshiftdb2_10006042.pickle
nmrshiftdb2_10006052.csv,nmrshiftdb2_10006052.pickle
nmrshiftdb2_10006053.csv,nmrshiftdb2_10006053.pickle
nmrshiftdb2_10006054.csv,nmrshiftdb2_10006054.pickle
nmrshiftdb2_10006055.csv,nmrshiftdb2_10006055.pickle
nmrshiftdb2_10006056.csv,nmrshiftdb2_10006056.pickle
nmrshiftdb2_10006057.csv,nmrshiftdb2_10006057.pickle
nmrshiftdb2_10006058.csv,nmrshiftdb2_10006058.pickle
nmrshiftdb2_10006060.csv,nmrshiftdb2_10006060.pickle
nmrshiftdb2_10006072.csv,nmrshiftdb2_10006072.pickle
nmrshiftdb2_10006080.csv,nmrshiftdb2_10006080.pickle
nmrshiftdb2_10006083.csv,nmrshiftdb2_10006083.pickle
nmrshiftdb2_10006085.csv,nmrshiftdb2_10006085.pickle
nmrshiftdb2_10006089.csv,nmrshiftdb2_10006089.pickle
nmrshiftdb2_10006098.csv,nmrshiftdb2_10006098.pickle
nmrshiftdb2_10006101.csv,nmrshiftdb2_10006101.pickle
nmrshiftdb2_10006102.csv,nmrshiftdb2_10006102.pickle
nmrshiftdb2_10006107.csv,nmrshiftdb2_10006107.pickle
nmrshiftdb2_10006111.csv,nmrshiftdb2_10006111.pickle
nmrshiftdb2_10006114.csv,nmrshiftdb2_10006114.pickle
nmrshiftdb2_10006115.csv,nmrshiftdb2_10006115.pickle
nmrshiftdb2_10006132.csv,nmrshiftdb2_10006132.pickle
nmrshiftdb2_10006137.csv,nmrshiftdb2_10006137.pickle
nmrshiftdb2_10006146.csv,nmrshiftdb2_10006146.pickle
nmrshiftdb2_10006153.csv,nmrshiftdb2_10006153.pickle
nmrshiftdb2_10006159.csv,nmrshiftdb2_10006159.pickle
nmrshiftdb2_10006179.csv,nmrshiftdb2_10006179.pickle
nmrshiftdb2_10006180.csv,nmrshiftdb2_10006180.pickle
nmrshiftdb2_10006181.csv,nmrshiftdb2_10006181.pickle
nmrshiftdb2_10006183.csv,nmrshiftdb2_10006183.pickle
nmrshiftdb2_10006191.csv,nmrshiftdb2_10006191.pickle
nmrshiftdb2_10006194.csv,nmrshiftdb2_10006194.pickle
nmrshiftdb2_10006220.csv,nmrshiftdb2_10006220.pickle
nmrshiftdb2_10006248.csv,nmrshiftdb2_10006248.pickle
nmrshiftdb2_10006272.csv,nmrshiftdb2_10006272.pickle
nmrshiftdb2_10006273.csv,nmrshiftdb2_10006273.pickle
nmrshiftdb2_10006288.csv,nmrshiftdb2_10006288.pickle
nmrshiftdb2_10006289.csv,nmrshiftdb2_10006289.pickle
nmrshiftdb2_10006291.csv,nmrshiftdb2_10006291.pickle
nmrshiftdb2_10006295.csv,nmrshiftdb2_10006295.pickle
nmrshiftdb2_10006296.csv,nmrshiftdb2_10006296.pickle
nmrshiftdb2_10006298.csv,nmrshiftdb2_10006298.pickle
nmrshiftdb2_10006299.csv,nmrshiftdb2_10006299.pickle
nmrshiftdb2_10006303.csv,nmrshiftdb2_10006303.pickle
nmrshiftdb2_10006306.csv,nmrshiftdb2_10006306.pickle
nmrshiftdb2_10006307.csv,nmrshiftdb2_10006307.pickle
nmrshiftdb2_10006310.csv,nmrshiftdb2_10006310.pickle
nmrshiftdb2_10006311.csv,nmrshiftdb2_10006311.pickle
nmrshiftdb2_10006315.csv,nmrshiftdb2_10006315.pickle
nmrshiftdb2_10006316.csv,nmrshiftdb2_10006316.pickle
nmrshiftdb2_10006320.csv,nmrshiftdb2_10006320.pickle
nmrshiftdb2_10006322.csv,nmrshiftdb2_10006322.pickle
nmrshiftdb2_10006328.csv,nmrshiftdb2_10006328.pickle
